Entrance of,Energy min (MeV),Energy nom (MeV),Energy max (MeV),Current (mA),RMS emittance horizontal (mm mrad),Twiss alpha horizontal,Twiss beta horizontal (m),RMS emittance vertical (mm mrad),Twiss alpha vertical,Twiss beta vertical,RMS emittance longitudinal (mm MeV),Twiss alpha longitudinal,Twiss beta longitudinal,Location (m)
LEBT,,0.075,,70,0.1152094,-3.2288082,0.38607772,0.1154647,-3.227559,0.38580933,,,,0
RFQ,,0.075,,70,0.1244268,1.8152539,0.18558735,0.124312,1.8139492,0.18567398,,,,2.4
MEBT,3.57784,3.6217899349,3.66559,62.5,0.2524937348,-0.0518285786,0.2095490759,0.2513065405,-0.3099899063,0.3707686115,0.361623,0.4292938452,0.3707686115,7
DTL,3.56609,3.6217899349,3.67516,62.499487665,0.2782541962,-0.0649815383,0.1717187239,0.2862777428,0.0529570798,0.8520447258,0.3853641,-0.2288078018,0.8520447258,10.865
DTL2,21.1258,21.2346190402,21.3745,62.4994236232,0.300850914,-0.0147237731,2.9291696286,0.2894202375,0.0588821265,0.9709017738,1.531832,0.5711269045,0.9709017738,18.660939
DTL3,38.8826,39.0137427387,39.1536,62.4992314975,0.2972053214,-2.3947685103,2.5995642508,0.2924504485,2.7478211692,2.9694583903,3.19261,0.1499435777,2.9694583903,26.000438
DTL4,56.5087,56.6762861725,56.8267,62.4992314975,0.2931884338,2.2509670058,3.6161677073,0.2966253529,-2.1721553604,3.5495170399,6.915126,0.1631205701,3.5495170399,33.866552
DTL5,73.4915,73.6532625882,73.8396,62.4992314975,0.2925471225,0.0041561801,5.9781624706,0.2991051686,0.0427539603,3.3811691319,11.27129,0.1183326778,3.3811691319,42.032893
LEDP,89.4952,89.6956640466,89.8713,62.4992314975,0.2934716939,-4.3531817215,10.8896202139,0.2967708356,0.8148635531,3.7627026725,16.47231,0.1191414312,3.7627026725,50.120745
Spoke,89.4547,89.6956640466,89.9188,62.4991034138,0.2962861513,-0.1021014488,2.3204286981,0.2972096483,2.4316727565,5.5876579617,0.3948123,0.0767752853,5.5876579617,51.972245
MB,216.248,216.539420671,216.852,62.4991034138,0.3351207538,-4.7232890141,29.6105005501,0.3273285483,-0.3706427752,11.6859154019,0.3808771,-0.0154311393,11.6859154019,105.836945
HB,567.923,568.448091612,569.079,62.4991034138,0.3381222224,-3.4011100725,29.0073430457,0.3237718625,-0.4937263474,12.5377086831,1.704637,0.0538632283,12.5377086831,182.516945
HEBT,1991.35,1992.26899513,1993.54,62.4991034138,0.3429980399,-0.454257384,34.6439144825,0.3561173293,0.6618264876,34.4166988719,40.32993,0.1031142934,34.4166988719,361.436945
TARGET,1988.97,1992.26899513,1995.89,62.4954530271,0.5145950801,-76.2528118005,1602.93229084,0.348294712,-13.0349110388,305.558899265,0.77267,0.0851287207,305.558899265,602.5864409
